date,adj close,close,high,low,open,volume,source,label,ticker
,399006.sz,399006.sz,399006.sz,399006.sz,399006.sz,399006.sz,,,
2026-04-17,3678.29345703125,3678.29345703125,3685.09765625,3620.328125,3643.15283203125,3919966836,yahoo,创业板指,399006.SZ
