date,open,high,low,close,volume,source,label,ticker
2011-05-30,2704.485,2728.062,2689.206,2706.361,6517438800,akshare,上证指数,sh000001
2011-05-31,2707.559,2744.934,2702.095,2743.472,6790038400,akshare,上证指数,sh000001
2011-06-01,2737.057,2744.559,2726.495,2743.572,6855550400,akshare,上证指数,sh000001
2011-06-02,2715.316,2727.995,2676.538,2705.181,8602116000,akshare,上证指数,sh000001
2011-06-03,2701.773,2732.427,2701.25,2728.02,6798394400,akshare,上证指数,sh000001
2011-06-07,2720.97,2745.77,2717.313,2744.3,6502129200,akshare,上证指数,sh000001
2011-06-08,2742.043,2754.122,2715.25,2750.288,7429466400,akshare,上证指数,sh000001
2011-06-09,2743.539,2747.332,2702.695,2703.345,8346926400,akshare,上证指数,sh000001
2011-06-10,2696.13,2707.742,2672.32,2705.143,7340029600,akshare,上证指数,sh000001
2011-06-13,2687.653,2703.423,2669.395,2700.379,6306946000,akshare,上证指数,sh000001
2011-06-14,2696.223,2735.553,2691.671,2730.04,8309751200,akshare,上证指数,sh000001
2011-06-15,2717.677,2730.476,2705.072,2705.431,7485694400,akshare,上证指数,sh000001
2011-06-16,2685.632,2691.944,2663.12,2664.283,7092787200,akshare,上证指数,sh000001
2011-06-17,2661.414,2675.027,2641.392,2642.818,6444263200,akshare,上证指数,sh000001
2011-06-20,2635.834,2637.883,2610.99,2621.253,6005986400,akshare,上证指数,sh000001
2011-06-21,2628.022,2648.024,2618.807,2646.483,6482187200,akshare,上证指数,sh000001
2011-06-22,2648.534,2657.725,2633.474,2649.321,5831380000,akshare,上证指数,sh000001
2011-06-23,2640.66,2693.417,2630.336,2688.249,7377268800,akshare,上证指数,sh000001
2011-06-24,2678.052,2759.71,2674.303,2746.211,12577363200,akshare,上证指数,sh000001
2011-06-27,2746.787,2769.043,2743.496,2758.23,10160101600,akshare,上证指数,sh000001
2011-06-28,2759.713,2763.28,2736.398,2759.202,8827744800,akshare,上证指数,sh000001
2011-06-29,2757.4,2759.231,2727.253,2728.483,8822420000,akshare,上证指数,sh000001
2011-06-30,2729.992,2774.365,2729.992,2762.076,9096712000,akshare,上证指数,sh000001
2011-07-01,2767.834,2778.668,2752.966,2759.362,9207288000,akshare,上证指数,sh000001
2011-07-04,2770.94,2813.27,2770.94,2812.818,12196225600,akshare,上证指数,sh000001
2011-07-05,2812.722,2818.141,2799.11,2816.355,11012422400,akshare,上证指数,sh000001
2011-07-06,2811.815,2811.815,2780.728,2810.479,10310439200,akshare,上证指数,sh000001
2011-07-07,2813.193,2825.123,2793.892,2794.267,11651214400,akshare,上证指数,sh000001
2011-07-08,2797.026,2807.38,2784.126,2797.774,8621160800,akshare,上证指数,sh000001
2011-07-11,2789.454,2807.322,2780.665,2802.692,8606359200,akshare,上证指数,sh000001
2011-07-12,2783.722,2783.722,2752.186,2754.582,9667447200,akshare,上证指数,sh000001
2011-07-13,2756.032,2797.266,2756.032,2795.476,9192912800,akshare,上证指数,sh000001
2011-07-14,2798.212,2811.704,2788.983,2810.444,10450208000,akshare,上证指数,sh000001
2011-07-15,2803.585,2821.339,2794.159,2820.169,10747006400,akshare,上证指数,sh000001
2011-07-18,2821.358,2826.959,2807.108,2816.688,10810862400,akshare,上证指数,sh000001
2011-07-19,2804.923,2809.315,2790.685,2796.983,9274088000,akshare,上证指数,sh000001
2011-07-20,2810.436,2817.285,2779.381,2794.205,8403061600,akshare,上证指数,sh000001
2011-07-21,2795.896,2799.852,2763.418,2765.894,8176058400,akshare,上证指数,sh000001
2011-07-22,2769.863,2782.169,2763.8,2770.79,7021184000,akshare,上证指数,sh000001
2011-07-25,2759.628,2759.628,2680.747,2688.746,11124224800,akshare,上证指数,sh000001
2011-07-26,2685.754,2704.939,2677.119,2703.026,7288145600,akshare,上证指数,sh000001
2011-07-27,2690.144,2726.801,2680.433,2723.492,8040778400,akshare,上证指数,sh000001
2011-07-28,2701.771,2712.09,2684.661,2708.777,7847491200,akshare,上证指数,sh000001
2011-07-29,2706.497,2721.53,2681.272,2701.729,7547165600,akshare,上证指数,sh000001
2011-08-01,2697.575,2712.888,2688.529,2703.783,5900071200,akshare,上证指数,sh000001
2011-08-02,2689.971,2689.971,2651.28,2679.259,6999318400,akshare,上证指数,sh000001
2011-08-03,2659.118,2688.065,2654.364,2678.485,6398160800,akshare,上证指数,sh000001
2011-08-04,2683.192,2698.815,2675.534,2684.039,5887211200,akshare,上证指数,sh000001
2011-08-05,2620.277,2644.581,2605.137,2626.423,7857183200,akshare,上证指数,sh000001
2011-08-08,2599.289,2614.19,2497.918,2526.816,11030249600,akshare,上证指数,sh000001
2011-08-09,2468.032,2537.409,2437.681,2526.07,10372388800,akshare,上证指数,sh000001
2011-08-10,2562.393,2579.156,2544.952,2549.176,10036934400,akshare,上证指数,sh000001
2011-08-11,2508.857,2582.155,2505.012,2581.508,9559726400,akshare,上证指数,sh000001
2011-08-12,2593.395,2605.447,2585.846,2593.173,9717120800,akshare,上证指数,sh000001
2011-08-15,2598.138,2627.104,2584.407,2626.77,8867684000,akshare,上证指数,sh000001
2011-08-16,2627.854,2636.36,2601.501,2608.166,8522686400,akshare,上证指数,sh000001
2011-08-17,2603.961,2617.165,2596.039,2601.261,7010914400,akshare,上证指数,sh000001
2011-08-18,2601.99,2603.485,2556.859,2559.472,7098928000,akshare,上证指数,sh000001
2011-08-19,2519.645,2538.272,2513.754,2534.358,7060680000,akshare,上证指数,sh000001
2011-08-22,2534.57,2553.415,2507.782,2515.863,6121442800,akshare,上证指数,sh000001
2011-08-23,2524.877,2554.178,2514.949,2554.019,6094419200,akshare,上证指数,sh000001
2011-08-24,2562.411,2569.278,2536.256,2541.091,6546246800,akshare,上证指数,sh000001
2011-08-25,2546.402,2616.304,2545.054,2615.261,10453797600,akshare,上证指数,sh000001
2011-08-26,2602.208,2616.636,2593.238,2612.188,7785044800,akshare,上证指数,sh000001
2011-08-29,2595.466,2595.466,2570.844,2576.413,7369609600,akshare,上证指数,sh000001
2011-08-30,2592.597,2615.135,2563.689,2566.595,7591068800,akshare,上证指数,sh000001
2011-08-31,2566.529,2574.415,2545.096,2567.34,5916972000,akshare,上证指数,sh000001
2011-09-01,2569.799,2584.804,2547.855,2556.042,5729092800,akshare,上证指数,sh000001
2011-09-02,2551.556,2557.31,2517.618,2528.28,5443658000,akshare,上证指数,sh000001
2011-09-05,2510.1,2510.1,2478.195,2478.739,5503106400,akshare,上证指数,sh000001
2011-09-06,2465.565,2482.242,2459.543,2470.524,4922317200,akshare,上证指数,sh000001
2011-09-07,2480.941,2516.754,2475.218,2516.09,5966586000,akshare,上证指数,sh000001
2011-09-08,2523.962,2524.377,2498.113,2498.943,5527195200,akshare,上证指数,sh000001
2011-09-09,2506.969,2528.422,2487.145,2497.753,5125338000,akshare,上证指数,sh000001
2011-09-13,2467.73,2477.083,2453.796,2471.305,4993092000,akshare,上证指数,sh000001
2011-09-14,2478.586,2485.934,2439.372,2484.827,5406597600,akshare,上证指数,sh000001
2011-09-15,2482.859,2496.572,2477.651,2479.055,5600368800,akshare,上证指数,sh000001
2011-09-16,2490.177,2499.481,2475.758,2482.343,4798685600,akshare,上证指数,sh000001
2011-09-19,2469.6,2469.6,2437.165,2437.795,4874682400,akshare,上证指数,sh000001
2011-09-20,2433.721,2460.034,2426.703,2447.755,4626589200,akshare,上证指数,sh000001
2011-09-21,2450.116,2517.673,2438.852,2512.963,8668928000,akshare,上证指数,sh000001
2011-09-22,2491.212,2499.976,2442.462,2443.057,7469540800,akshare,上证指数,sh000001
2011-09-23,2411.833,2440.751,2400.141,2433.159,6730269600,akshare,上证指数,sh000001
2011-09-26,2416.226,2441.729,2384.64,2393.183,5742504000,akshare,上证指数,sh000001
2011-09-27,2410.991,2423.913,2395.164,2415.054,5523143200,akshare,上证指数,sh000001
2011-09-28,2427.289,2430.27,2383.396,2392.062,5575844800,akshare,上证指数,sh000001
2011-09-29,2378.423,2387.538,2358.572,2365.343,5919124000,akshare,上证指数,sh000001
2011-09-30,2368.398,2377.541,2348.217,2359.22,4881837200,akshare,上证指数,sh000001
2011-10-10,2363.078,2368.149,2338.685,2344.787,4174530400,akshare,上证指数,sh000001
2011-10-11,2401.738,2412.376,2323.412,2348.516,6397580800,akshare,上证指数,sh000001
